StationName,NLC,Operator,EntriesStandard,EntriesReduced,EntriesSeasons,ExitsStandard,ExitsReduced,ExitsSeasons,TotalEntriesandExits
Aldermaston,3145,HN,4989,3361,12485,7513,3558,12485,44391
Aldershot,5623,HY,100521,218490,107553,93321,228148,107553,855586
Aldrington,5280,HW,5354,11620,11335,11048,13151,11335,63843
AlexandraPalace,6025,HQ,41456,42368,126989,31694,42650,126989,412146
AlexandraParade,9905,HA,6405,2049,636,8435,2050,636,20211
Alexandria,9861,HA,64499,61183,12780,62318,61230,12780,274790
Alfreton&MPwy,1805,HG,21143,33077,4596,22110,33088,4596,118610
AllensWest,7520,HC,6171,3910,3744,6992,3914,3744,28475
Allerton,2214,HD,2985,2624,564,3263,3180,564,13180
Alness,8605,HA,593,437,0,752,439,0,2221
Alnmouth,7787,HC,6695,24255,5036,7592,24250,5036,72864
AlresfordEssex,6847,HR,2095,10524,12971,2305,10614,12971,51480
Alsager,1223,HG,12767,5618,1545,14419,5755,1545,41649
AlthorneEssex,6869,HR,5222,3902,19014,5772,8334,19014,61258
AlthorpeHumber,6532,HC,1339,865,408,1255,868,408,5143
Altnabreac,8606,HA,20,9,0,60,9,0,98
Alton,5544,HY,36865,73010,80135,33256,76888,80135,380289
Altrincham,2806,HD,34426,56257,13775,37700,56813,13775,212746
Alvechurch,1198,HG,20937,6297,720,27924,6357,720,62955
Ambergate,1678,HG,6317,4417,1202,6661,4421,1202,24220
Amberley,5250,HW,1202,10048,1387,1616,11716,1387,27356
Ammanford,4236,HK,1716,1970,275,1761,2097,275,8094
Ancaster,6358,HG,970,76,707,1767,76,707,4303
Anderston,9965,HA,31819,12775,25755,32121,12708,114,115292
Andover,5510,HY,47737,131972,111886,47180,137910,111886,588571
Anerley,5397,HW,20017,29605,47758,9019,35867,47758,190024
AngelRoad,6909,HQ,1122,979,1006,4987,1966,1006,11066
Angmering,5267,HW,21701,100439,60150,19382,104512,60150,366334
Annan,9451,HA,5369,10646,1538,6305,10660,1538,36056
Anniesland,9972,HA,123733,67170,49865,127348,67170,49865,485151
Ansdell&Fairhn,2662,HD,8338,6384,330,8375,6460,330,30217
Appleby,2052,HC,19219,5192,7503,19940,5259,7503,64616
AppledoreKent,5003,HU,1452,3962,3389,1815,5570,3389,19577
Appleford,3109,HN,644,1280,1123,1662,1365,1123,7197
AppleyBridge,2396,HD,8501,19002,10741,9589,20288,10741,78862
Apsley,1430,HP,22050,50428,42290,22213,50860,42290,230131
Arbroath,9079,HA,40389,62752,15887,39444,62892,15887,237251
Ardgay,8613,HA,743,433,0,809,439,0,2424
Ardlui,9962,HA,813,190,0,863,191,13517,15574
ArdrossanHbr,9453,HA,16535,10566,15,21010,10617,15,58758
ArdrossanSBch,9569,HA,23676,23209,13121,24160,23213,13121,120500
ArdrossanTown,9455,HA,2341,2122,311,3011,2130,311,10226
Ardwick,2960,HD,150,169,50,407,94,50,920
ArgyleStreet,9961,HA,177453,66036,13517,70454,65312,2761,395533
Arisaig,8821,HA,2702,666,0,2990,664,0,7022
Arlesey,6171,HQ,14616,24917,53211,17668,27612,53211,191235
Armathwaite,2054,HC,1982,328,865,2444,329,865,6813
Arnside,1963,HD,17060,16714,5055,19282,16804,5055,79970
Arram,8045,HC,413,593,87,529,595,87,2304
Arrochar&Tar,9963,HA,1709,793,114,1959,797,0,5372
Arundel,5251,HW,9950,53344,29209,9516,55568,29209,186796
AscotBerks,5666,HY,82463,167332,99012,76018,175021,99012,698858
AscottUWych,3003,HN,455,325,365,473,327,365,2310
Ash,5641,HY,21342,41197,25998,19277,47803,25998,181615
AshVale,5547,HY,27264,52397,77123,24704,57236,77123,315847
Ashburys,2941,HD,8724,4948,13829,10064,4997,13829,56391
Ashchurch,4700,HG,3246,8629,3332,3588,8687,3332,30814
Ashfield,9953,HA,8109,6809,794,10091,6811,184985,217599
AshfordKent,5004,HU,113771,340518,405120,114633,330952,405120,1710114
AshfordSurrey,5667,HY,47416,84457,121235,40472,88665,121235,503480
Ashley,2850,HD,1110,1276,156,1194,1278,156,5170
Ashtead,5347,HW,49098,107524,168873,37681,123424,168873,655473
Ashton,2790,HD,20040,42109,14795,19457,45399,14795,156595
Ashurst,5398,HW,297,770,1076,401,897,1076,4517
Ashwell&Morden,6083,HQ,4988,5716,25838,6106,6909,25838,75395
Askam,1953,HD,3949,17759,10527,3606,19509,10527,65877
Aslockton,6233,HG,9423,212,2130,8544,213,2130,22652
Aspatria,2095,HD,5830,2463,1526,5817,2458,1526,19620
AspleyGuise,1380,HP,1807,5185,3920,1921,5191,3920,21944
Aston,1004,HG,23946,40671,303,27441,40866,303,133530
AtherstoneWarks,1074,HG,2993,984,319,2808,1060,319,8483
AthertonManchr,2584,HD,19702,43573,24536,17071,47374,24536,176792
Attadale,8608,HA,63,53,0,87,56,0,259
Attenborough,1624,HG,11977,1188,1199,13661,1206,1199,30430
Attercliffe,6734,HC,3,6,0,5,6,0,20
Attleborough,7367,HG,9494,8781,2425,9904,8799,2425,41828
Auchinleck,9457,HA,5248,2679,333,5740,2680,333,17013
AudleyEnd,7017,HQ,38337,81037,200970,36774,89420,200970,647508
AughtonPark,2215,HE,16235,15011,11141,17049,15073,11141,85650
Aviemore,8610,HA,9053,17542,11,9669,17586,11,53872
Avoncliff,3265,HK,1443,1491,159,1692,1496,159,6440
Avonmouth,3200,HK,14511,1563,4551,14294,1572,4551,41042
Axminster,5714,HY,8636,64899,30104,8352,66338,30104,208433
Aylesbury,1492,HO,70423,171331,109623,61411,172887,109623,695298
Aylesford,5162,HU,17319,14835,9750,16218,15010,9750,82882
Aylesham,5197,HU,8748,18870,9880,7938,20166,9880,75482
Ayr,9463,HA,239229,260664,76271,230122,260657,76271,1143214
Bache,2187,HE,16060,15099,3190,15598,15120,3190,68257
Baglan,4186,HK,3866,5093,1928,4872,5094,1928,22781
Bagshot,5681,HY,10711,14600,14664,13469,16906,14664,85014
Baildon,8552,HC,43258,25368,2803,51118,24189,2803,149539
Baillieston,9763,HA,12624,10712,3403,15626,10713,3403,56481
Balcombe,5492,HW,4219,10887,23175,4453,13892,23175,79801
Baldock,6084,HQ,19969,35498,56976,21553,38381,56976,229353
Balham,5399,HW,172348,315102,335390,135847,329861,335390,1623938
BallochCentral,9862,HA,69826,70170,51479,68105,70139,51479,381198
Balmossie,9013,HA,18,53,10,27,53,10,171
BamberBridge,2561,HD,23221,5361,4060,22737,5375,4060,64814
Bamford,2820,HD,4234,3101,170,4034,3102,170,14811
Banavie,8839,HA,844,114,0,965,113,0,2036
Banbury,4502,HO,105781,156970,72921,101377,157481,72921,667451
BangorGwynedd,2471,HD,41083,195460,31430,38009,194155,31430,531567
BankHall,2238,HE,12753,14833,15,15310,20306,15,63232
Banstead,5348,HW,2280,3372,20488,2701,7724,20488,57053
Barassie,9466,HA,21238,18087,14568,25035,18087,14568,111583
BardonMill,7563,HC,1429,769,869,1497,767,869,6200
BareLane,2690,HD,41084,7585,10524,41512,7622,10524,118851
Bargeddie,9764,HA,9327,8224,1826,10534,8222,1826,39959
Bargoed,4011,HL,11521,36997,12707,11608,37004,12707,122544
Barking,7492,HT,401944,400966,826436,238510,397175,826436,3091467
Barlaston,1279,HG,3732,448,1216,4406,447,1216,11465
Barming,5133,HU,5944,8848,17275,5509,9951,17275,64802
Barmouth,4445,HG,21141,29679,20544,19651,29580,20544,141139
Barnehurst,5089,HU,68279,93483,393996,35833,104297,393996,1089884
Barnes,5551,HY,74743,98025,123952,53384,105041,123952,579097
BarnesBridge,5580,HY,23095,15802,5984,16743,21195,5984,88803
Barnetby,6406,HC,4358,9415,1290,4946,9597,1290,30896
Barnham,5252,HW,38595,117413,130908,38164,121064,130908,577052
Barnhill,9973,HA,4443,1013,392,5564,1014,392,12818
Barnsley,6774,HC,100784,196983,15311,95120,196626,15311,620135
Barnstaple,5725,HK,15461,67526,18353,14682,67592,18353,201967
BarntGreen,1096,HG,31695,17806,8330,43463,18247,8330,127871
Barrhead,9674,HA,77726,64135,37270,82448,64137,37270,362986
Barrhill,9467,HA,1063,1399,78,1611,1399,78,5628
BarrowHaven,6212,HC,1561,7,403,1911,7,403,4292
BarrowInFurn,1954,HD,39113,157706,47009,39355,155111,47009,485303
Barrow-upon-Soar,1903,HG,18471,867,3653,17549,867,3653,45060
Barry,3805,HL,40684,75890,41207,39120,75978,41207,314086
BarryDocks,3806,HL,17091,32046,8995,17525,32048,8995,116700
BarryIsland,3807,HL,13260,76445,20875,17882,76479,20875,225816
BarryLinks,9020,HA,13,29,10,24,29,10,115
BartonOnHumber,6207,HC,22770,163,2167,22856,166,2167,50289
Basildon,7494,HT,158622,241952,376920,137991,252490,376920,1544895
Basingstoke,5520,HY,270348,579418,560576,264127,582606,560576,2817651
Bat&Ball,5090,HU,3041,3980,16849,5437,7100,16849,53256
BathSpa,3271,HJ,323665,801301,221069,317306,797031,221069,2681441
Bathgate,9311,HA,104785,59147,45475,106779,59174,45475,420835
Batley,8484,HC,20603,17754,454,23740,16777,454,79782
Battersby,7909,HC,246,752,0,267,749,0,2014
BatterseaPark,5420,HW,64536,117213,149771,53854,121960,149771,657105
Battle,5215,HU,21090,85051,102939,18519,87874,102939,418412
Battlesbridge,6870,HR,384,1018,1611,1005,1119,1611,6748
Bayford,6006,HQ,457,1584,3547,2258,1598,3547,12991
Beaconsfield,3047,HO,80005,189485,127580,77481,189925,127580,792056
Bearley,2420,HG,595,312,15,530,326,15,1793
Bearsden,9966,HA,88263,45977,28870,92965,45983,25755,327813
Bearsted,5091,HU,20633,36781,83210,21279,38972,83210,284085
Beasdale,8822,HA,258,29,0,374,30,0,691
BeaulieuRoad,5890,HY,505,1816,1001,641,1834,1001,6798
Bebington,2188,HE,60035,103583,1733,71218,117805,1733,356107
Beccles,7258,HS,11558,13358,1343,11579,13347,1343,52528
BeckenhamHill,5076,HU,10019,10656,30268,4905,13271,30268,99387
BeckenhamJn,5046,HU,76859,189100,417750,45493,209170,417750,1356122
BeddingtonLane,5349,HW,58,116,150,269,290,150,1033
BedfordMidland,1512,HX,79011,400330,404979,82716,417505,404979,1789520
BedfordStJohns,1510,HP,8,38,5,30,38,5,124
Bedhampton,5538,HY,16720,14892,10002,17684,15779,10002,85079
Bedminster,3245,HK,3588,2195,2625,4170,2228,2625,17431
Bedworth,1165,HG,6532,2646,1263,7131,2790,1263,21625
Bedwyn,3070,HN,5707,13275,8457,5785,15069,8457,56750
Beeston,1625,HG,52472,29800,21246,52717,29542,21246,207023
Bekesbourne,5198,HU,3062,4582,7990,3979,4695,7990,32298
BelleVue,2785,HD,1428,4573,257,2388,4825,257,13728
Bellgrove,9895,HA,50402,33800,12912,53805,33800,12912,197631
BellinghamLdn,5062,HU,20271,33667,124379,11726,36853,124379,351275
Bellshill,9714,HA,83105,61955,12918,90881,61952,12918,323729
Belmont,5350,HW,1798,2501,4948,2542,2900,4948,19637
Belper,1679,HG,23342,14499,5663,23363,14582,5663,87112
Beltring,5227,HU,653,984,548,716,1004,548,4453
Belvedere,5092,HU,28422,42261,101211,16382,48197,101211,337684
Bempton,8047,HC,2199,2405,1355,2139,2406,1355,11859
BenRhydding,8564,HC,31775,24946,485,29557,22799,485,110047
Benfleet,7439,HT,155700,220379,768805,138643,241349,768805,2293681
Bentham,2676,HC,4697,1514,99,5039,1525,99,12973
Bentley,5624,HY,5494,6495,25779,5550,7473,25779,76570
Bentley(S.Yorks),8352,HC,17128,12715,6064,16284,11776,6064,70031
BereAlston,3549,HK,7849,4666,4354,7985,4667,4354,33875
BereFerrers,3550,HK,3817,2412,1407,3729,2412,1407,15184
Berkhamsted,1390,HP,67679,178537,247371,48511,202397,247371,991866
Berkswell,1045,HG,19809,25304,756,21264,25314,756,93203
BerneyArms,7330,HS,182,84,0,405,85,0,756
BerryBrow,8431,HC,3871,4216,345,4655,3920,345,17352
Berrylands,5581,HY,15476,15236,26245,12387,17255,26245,112844
BerwickOnTweed,7791,HB,56180,80214,2917,56873,79846,2917,278947
BerwickSussex,5323,HW,3603,15533,18299,2730,17640,18299,76104
BescarLane,2351,HD,1279,797,255,1168,793,255,4547
Bescot,1003,HG,8223,21614,538,9210,21598,538,61721
Beses-O'-Th'-Barn,2942,MM,0,1,0,11,2,0,14
Betchworth,5472,HN,930,1366,4612,858,1623,4612,14001
BethnalGreen,6961,HQ,5426,7413,9762,27740,7845,9762,67948
BetwsYCoed,2449,HD,17295,3153,477,16984,3187,477,41573
Beverley,8048,HC,74831,103984,89008,77659,104083,89008,538573
Bexhill,5211,HW,52201,151742,86470,55959,154015,86470,586857
Bexley,5093,HU,47048,67483,230860,28504,78475,230860,683230
Bexleyheath,5094,HU,132495,173611,646133,73215,199640,646133,1871227
BhamSnowHill,1006,HG,65022,32041,600,6432,26700,600,131395
Bicester,3048,HO,31989,70884,57289,33432,71029,57289,321912
BicesterTown,3104,HN,3731,9015,5628,4352,9120,5628,37474
Bickley,5063,HU,37660,57140,132769,25188,64067,132769,449593
Bidston,2136,HE,19192,18763,447,15861,20612,447,75322
Biggleswade,6170,HQ,28658,65420,106850,27250,73849,106850,408877
Bilbrook,4618,HG,6305,4209,2247,6192,4220,2247,25420
Billericay,6871,HR,121677,241232,882778,91979,268980,882778,2489424
BillinghamCleve,7910,HC,8553,5979,2619,9618,6010,2619,35398
Billingshurst,5464,HW,12367,47308,73458,10293,49389,73458,266273
Bingham,6235,HG,7989,1688,1747,8971,1691,1747,23833
Bingley,8553,HC,92053,73693,6301,101531,70814,6301,350693
Birchgrove,3907,HL,7730,10337,4410,7348,10340,4410,44575
Birchington,5163,HU,6882,28066,39578,6315,28342,39578,148761
Birchwood,2304,HD,65457,60236,26657,61195,60280,26657,300482
Birkbeck,5401,HW,3075,2959,1841,1462,3535,1841,14713
Birkdale,2352,HE,36345,57590,426,28137,69141,426,192065
BirkenheadCtl,2217,HE,71674,173759,3425,85521,219306,3425,557110
BirkenheadHSq,2219,HE,214961,419100,4672,163822,295443,4672,1102670
BirkenheadNorth,2145,HE,32707,55523,1966,31126,56347,1966,179635
BirkenheadPark,2220,HE,76388,108302,893,101030,199840,893,487346
BirminghamIntl,1215,HF,357103,557756,36473,335915,539835,36473,1863555
BirminghamMSt,4515,HG,42056,38339,59,5811,29536,59,115860
BirminghamNSt,1127,HF,1595130,3890370,204766,1650077,3875771,204766,11420880
BishopAuckland,7835,HC,17311,13278,1025,15959,13288,1025,61886
Bishopbriggs,9940,HA,100289,64103,40150,135982,64104,3525,408153
BishopsStrtford,6800,HQ,131709,241502,327157,115943,252141,327157,1395609
BishopstoneSsex,5402,HW,1115,4175,4481,1559,4489,4481,20300
BishoptonSclyde,9620,HA,78975,72429,48715,86438,72418,48715,407690
Bitterne,5945,HY,4944,5040,3835,5920,5387,3835,28961
Blackburn,2737,HD,124589,215558,67683,137394,216851,67683,829758
Blackheath,5095,HU,149398,302501,596994,72414,338814,596994,2057115
BlackpoolNorth,2739,HD,129513,664639,31013,125187,660655,31013,1642020
BlackpoolPleasu,2738,HD,6526,6776,159,5324,6556,159,25500
BlackpoolSouth,2740,HD,10290,21205,1233,10928,21700,1233,66589
Blackrod,2732,HD,13344,11739,22222,13275,13836,22222,96638
Blackwater,5625,HN,36520,52764,40416,38978,57612,40416,266706
BlaenauFfest,2450,HD,15351,4317,274,15091,4314,274,39621
BlairAtholl,8750,HA,3006,2107,47,3395,2108,47,10710
Blairhill,9760,HA,71525,45671,111529,70611,45670,111529,456535
BlakeStreet,1176,HG,35326,24282,24477,34625,24319,24477,167506
Blakedown,4574,HG,11002,1727,9028,12811,1726,9028,45322
Blantyre,9716,HA,48783,35841,16805,46488,35837,16805,200559
Blaydon,7503,HC,1260,692,68,754,629,68,3471
Bleasby,6204,HG,3396,102,341,3099,114,341,7393
Bletchley,1360,HP,34144,121065,178730,31288,122467,178730,666424
Bloxwich,1141,HG,2882,4921,5,3871,4919,5,16603
Blundellsands,2123,HE,73286,103084,1403,65809,117700,1403,362685
BlytheBridge,1282,HG,14384,5747,3303,14464,5770,3303,46971
BodminParkway,3501,HK,16942,45024,2635,17675,44517,2635,129428
Bodorgan,2435,HD,755,563,378,568,570,378,3212
BognorRegis,5253,HW,32434,210838,85498,30760,215857,85498,660885
Bogston,9668,HA,4503,1499,2525,6242,1499,2525,18793
BoldonColliery,7740,HC,17509,18503,656,22335,10849,656,70508
BoltonManchr,2599,HD,185324,507035,87588,194276,514055,87588,1575866
BoltonOnDearne,8536,HC,6646,14159,2366,5585,14133,2366,45255
Bookham,5626,HY,14767,27080,40569,12575,34835,40569,170395
BootleCumbria,1993,HD,4025,352,3080,3794,355,3080,14686
BootleNStrand,2195,HE,37315,73188,590,44019,92310,590,248012
BootleOrielRd,2239,HE,31598,38991,1723,35931,38801,1723,148767
Bordesley,4513,HG,49,383,5,102,386,5,930
BoroGreen&W,5130,HU,22891,74206,91267,19054,80219,91267,378904
Borth,4304,HG,10356,5149,300,11076,5274,300,32455
Bosham,5254,HW,5323,8940,16819,5834,9724,16819,63459
Boston,6216,HG,37993,21591,7072,38137,21445,7072,133310
Botley,5894,HY,6941,7958,12211,6476,10588,12211,56385
Bottesford,6237,HG,8448,468,2266,8872,478,2266,22798
BourneEnd,3018,HN,27473,40223,39652,25105,43182,39652,215287
Bournemouth,5876,HY,148914,529555,166528,145193,533465,166528,1690183
Bournville,1112,HG,50231,62459,2036,52777,62443,2036,231982
BowBrickhill,1381,HP,2369,3449,6233,2609,4126,6233,25019
BowesPark,6027,HQ,12815,7190,47996,9576,7330,47996,132903
Bowling,9968,HA,7570,4512,59314,9464,4513,59314,144687
Boxhill&Whmble,5403,HW,2693,10923,7660,2617,12402,7660,43955
Bracknell,5693,HY,205587,257691,188998,205011,266494,188998,1312779
BradfordFSq,8346,HC,120250,59863,7715,12137,39113,7715,246793
BradfordInterch,8345,HC,354777,525146,29650,443445,535835,29650,1918503
BradfordOnAvon,3341,HK,26567,41109,24753,29640,41135,24753,187957
Brading,5530,HZ,22420,1190,7202,23957,1135,7202,63106
Braintree,6801,HR,19780,94627,135132,17238,101673,135132,503582
Bramhall,2944,HD,24660,39611,22470,22785,43616,22470,175612
BramleyHants,5500,HN,16881,39672,35803,16871,44398,35803,189428
BramleyWYorks,8496,HC,26004,15010,4042,29627,13976,4042,92701
BramptonCumbria,7565,HC,1097,1518,304,1592,1517,304,6332
BramptonSuffolk,7259,HS,1058,450,15,1129,450,15,3117
Branchton,9938,HA,14321,11989,3525,15301,11991,70159,127286
Brandon,7200,HG,2910,3343,483,3346,3358,483,13923
Branksome,5875,HY,19786,27066,18602,21823,28079,18602,133958
BraystonesCumbr,2045,HD,713,71,0,715,71,0,1570
Bredbury,2779,HD,12611,23187,7354,12895,24279,7354,87680
Breich,9251,HA,64,3,0,66,3,0,136
Brentford,5552,HY,23673,27635,8936,30963,33161,8936,133304
Brentwood,6872,HR,191192,230598,529693,160384,244966,529693,1886526
BricketWood,1560,HP,5114,13515,7485,3727,16434,7485,53760
BridgeOfAllan,9889,HA,27278,11684,11805,34428,11688,11805,108688
BridgeOfOrchy,8823,HA,1470,579,0,1494,583,0,4126
Bridgend,3809,HJ,80747,191420,37368,86640,191255,37368,624798
Bridgeton,9789,HA,45518,28900,10580,40819,28901,10580,165298
Bridgwater,3449,HK,20721,34596,4827,20306,34799,4827,120076
Bridlington,8049,HC,47037,83091,29945,47276,83140,29945,320434
Brierfield,2554,HD,3524,3728,2410,3281,3741,2410,19094
Brigg,6464,HC,70,22,0,79,23,0,194
Brighton,5268,HW,375380,2368533,954878,329876,2392647,954878,7376192
Brightside,6601,HC,1,3,0,1,3,0,8
Brimsdown,6810,HQ,25535,19911,55167,25292,20243,55167,201315
Brinnington,2603,HD,7393,17999,3652,6354,18103,3652,57153
BristolParkway,3230,HJ,181244,233291,80380,178276,231141,80380,984712
BristolTempleM,3231,HJ,508785,1019057,322448,502065,1013750,322448,3688553
Brithdir,4012,HL,2053,6848,1544,2043,6847,1544,20879
BritonFerry,4187,HK,6577,8312,1389,7102,8370,1389,33139
Brixton,5081,HU,9578,24715,22709,15412,26335,22709,121458
BroadGreen,2240,HD,29714,42982,1596,28293,43572,1596,147753
BroadLane,1018,HG,5132,4469,20,5117,4472,20,19230
Broadbottom,2892,HD,15570,22273,8720,13355,23968,8720,92606
Broadstairs,5006,HU,20753,89564,82745,20499,91821,82745,388127
Brockenhurst,5886,HY,44001,136949,208663,40796,138429,208663,777501
Brockholes,8429,HC,8781,6433,546,8638,6463,546,31407
Brockley,5404,HW,84222,135319,288566,51178,139402,288566,987253
Bromborough,2190,HE,55571,79462,706,55846,94679,706,286970
BromboroughRake,2191,HE,22085,37079,88,17799,30254,88,107393
BromleyCross,2697,HD,21699,34056,16980,18441,37044,16980,145200
BromleyNorth,5096,HU,22267,33117,107365,13889,43610,107365,327613
BromleySouth,5064,HU,249749,897540,833199,208973,910542,833199,3933202
Bromsgrove,4715,HG,16393,14525,5045,16025,18005,5045,75038
Brondesbury,1437,HP,24151,34673,20836,18472,34285,20836,153253
BrondesburyPark,1438,HP,8909,13958,6918,6384,14116,6918,57203
Brookman'sPark,6074,HQ,12554,10771,33772,11633,10877,33772,113379
Brookwood,5687,HY,65272,92004,140803,62234,100807,140803,601923
Broome,4175,HK,344,293,240,413,319,240,1849
Broomfleet,8050,HC,872,198,587,682,198,587,3124
Brora,8618,HA,1500,640,0,1448,638,0,4226
Brough,8051,HC,39750,34281,29810,40524,34323,29810,208498
BroughtyFerry,9023,HA,495,1085,1496,572,1082,1496,6226
Broxbourne,6812,HQ,107257,132418,337829,97163,132648,337829,1145144
BruceGrove,6958,HQ,12026,10702,32351,15534,10769,32351,113733
Brundall,7289,HS,7154,9113,1461,7583,10250,1461,37022
BrundallGardens,7006,HS,1550,807,311,1482,931,311,5392
Brunswick,3623,HK,1464,1816,23,1504,1736,23,6566
Bruton,5702,HK,2085,4672,477,2141,4716,477,14568
Bryn,2222,HD,11294,10246,1762,11746,10319,1762,47129
BuckenhamNorflk,7290,HS,4,8,0,10,8,0,30
Buckley,2422,HD,10620,1503,176,12483,1513,176,26471
Bucknell,4182,HK,1114,1148,465,1119,1133,465,5444
Bugle,3502,HK,215,247,0,274,247,0,983
BuilthRoad,4317,HK,1914,1247,0,1949,1277,0,6387
Bulwell,1865,HG,30386,25799,5376,27697,25778,5376,120412
Bures,7085,HR,1583,5518,11710,1560,5801,11710,37882
BurgessHill,5483,HW,53016,178443,387142,58651,184354,387142,1248748
BurleyInWdale,8565,HC,47887,47784,1323,55387,47158,1323,200862
BurleyPark,8500,HC,72416,37048,7334,78244,35895,7334,238271
Burnage,2945,HD,11019,19004,5657,9673,20764,5657,71774
BurnesideCumbr,1975,HD,2794,1068,358,2648,1069,358,8295
BurnhamBucks,3176,HN,75557,105236,106010,76122,117149,106010,586084
BurnhamOnC,6873,HR,8612,38428,86388,7956,40579,86388,268351
BurnleyBarracks,2743,HD,82,232,286,260,249,286,1395
BurnleyCentral,2550,HD,18985,33773,6803,21012,33683,6803,121059
BurnleyM/CRoad,2549,HC,21079,27595,9881,22920,27566,9881,118922
BurnsideSclyde,9767,HA,55170,34810,25580,62270,34812,25580,238222
Burntisland,9107,HA,12924,19128,13941,14103,19097,13941,93134
BurscoughBridge,2279,HD,20577,23336,3714,18110,23681,3714,93132
BurscoughJn,2280,HD,6000,9281,1146,5728,10509,1146,33810
Bursledon,5927,HY,4533,6481,4723,5304,6826,4723,32590
BurtonJoyce,6200,HG,2986,804,274,2280,822,274,7440
BurtonOnTrent,1658,HG,47323,94914,24124,49267,95404,24124,335156
Bury,2623,MM,0,1,0,0,1,0,2
BuryStEdmunds,7008,HS,35933,38659,6410,39974,39190,6410,166576
Busby,9791,HA,22019,16060,10116,23435,16062,10116,97808
BushHillPark,6913,HQ,52796,48373,145833,30558,48311,145833,471704
Bushey,1395,HP,28853,38908,101066,19059,41908,101066,330860
ButlersLane,1179,HG,23937,18800,1657,20552,18834,1657,85437
Buxted,5324,HW,2783,6437,9730,2641,7320,9730,38641
Buxton,2946,HD,19885,85791,19623,16987,86146,19623,248055
Byfleet&NewH,5689,HY,26679,35713,53398,29501,39330,53398,238019
Bynea,4124,HK,178,160,0,209,156,0,703
Cadoxton,3811,HL,36020,55791,31616,39211,55796,31616,250050
Caergwrle,2536,HD,12943,743,26,13627,744,26,28109
Caerphilly,3812,HL,58524,145774,56408,64680,145833,56408,527627
Caersws,4412,HG,4380,5728,142,4506,5835,142,20733
Caldicot,3680,HK,8667,11460,3673,10532,11473,3673,49478
CaledonianRoad,1439,HP,6682,9436,1888,10068,11001,1888,40963
Calstock,3562,HK,5418,4443,1756,5442,4452,1756,23267
CamandDursley,3238,HK,10679,14867,4598,11553,14920,4598,61215
Camberley,5682,HY,49078,92416,43392,46483,101511,43392,376272
Camborne,3504,HK,23065,28139,1552,22337,28456,1552,105101
Cambridge,7022,HQ,384608,1116531,464128,337040,1142822,464128,3909257
CambridgeHeath,6962,HQ,442,86,124,2855,92,124,3723
Cambuslang,9768,HA,92731,63699,47504,100532,63693,47504,415663
CamdenRoad,1440,HP,25389,44119,26176,34390,42912,26176,199162
Camelon,9878,HA,8691,6300,7209,9753,6311,7209,45473
