<<<<<<< HEAD
 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Journeys originating on NR,,,,,,,,,,
From,,To,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday Total
511,Baker Street                  ,694,Russell Square                ,0,0,30,0,0,0,30
511,Baker Street                  ,775,Shepherd's Bush Market        ,0,0,20,0,0,0,20
511,Baker Street                  ,702,Sloane Square                 ,0,8,0,0,0,0,9
511,Baker Street                  ,708,South Kensington              ,0,0,0,20,0,0,20
511,Baker Street                  ,784,Southwark                     ,3,149,176,0,0,0,328
511,Baker Street                  ,695,St. James's Park              ,3,13,0,0,0,0,16
511,Baker Street                  ,697,St. Paul's                    ,0,51,0,0,0,0,51
511,Baker Street                  ,715,Stepney Green                 ,0,0,0,17,0,0,17
511,Baker Street                  ,719,Stratford                     ,8,5,0,0,0,0,13
511,Baker Street                  ,728,Tottenham Court Road          ,0,0,2,0,0,0,2
511,Baker Street                  ,741,Victoria                      ,0,0,228,0,0,0,228
511,Baker Street                  ,742,Walthamstow Central           ,0,0,0,65,0,0,65
511,Baker Street                  ,747,Waterloo                      ,18,65,75,34,0,0,192
511,Baker Street                  ,751,Wembley Central               ,0,0,10,0,0,0,10
511,Baker Street                  ,757,West Ham                      ,0,23,0,0,0,0,23
511,Baker Street                  ,758,West Hampstead                ,0,10,28,9,0,0,47
511,Baker Street                  ,754,Westbourne Park               ,0,5,32,0,0,0,38
511,Baker Street                  ,761,Westminster                   ,9,152,251,0,0,0,412
511,Baker Street                  ,765,Willesden Green               ,0,8,0,0,0,0,8
511,Baker Street                  ,599,Wood Lane                     ,1,13,0,0,0,0,14
512,Balham                        ,507,Angel                         ,0,10,70,0,0,0,80
512,Balham                        ,509,Arnos Grove                   ,0,0,0,0,7,0,7
512,Balham                        ,511,Baker Street                  ,0,17,0,0,0,0,17
512,Balham                        ,513,Bank / Monument               ,13,179,6,0,0,0,198
512,Balham                        ,522,Blackhorse Road               ,6,21,0,0,0,0,27
512,Balham                        ,525,Borough                       ,0,100,0,0,0,0,100
512,Balham                        ,532,Burnt Oak                     ,0,27,0,0,0,0,27
512,Balham                        ,535,Camden Town                   ,0,2,11,0,0,0,13
512,Balham                        ,852,Canary Wharf                  ,0,29,0,0,0,0,29
512,Balham                        ,718,Charing Cross                 ,0,0,0,18,0,0,18
512,Balham                        ,547,Clapham Common                ,6,158,28,148,2,0,342
512,Balham                        ,548,Clapham North                 ,0,6,28,18,76,0,127
512,Balham                        ,549,Clapham South                 ,0,0,8,135,0,4,146
512,Balham                        ,552,Colliers Wood                 ,15,80,66,144,24,8,337
512,Balham                        ,565,East Finchley                 ,0,0,0,0,0,2,2
512,Balham                        ,566,East Ham                      ,0,0,0,102,0,0,102
512,Balham                        ,570,Elephant & Castle             ,20,77,26,99,0,0,222
512,Balham                        ,542,Embankment                    ,1,5,14,0,0,0,20
512,Balham                        ,577,Farringdon                    ,0,3,0,0,0,0,3
512,Balham                        ,585,Goldhawk Road                 ,0,0,2,0,0,0,2
512,Balham                        ,586,Goodge Street                 ,6,60,17,0,0,0,82
512,Balham                        ,594,Hampstead                     ,28,18,0,0,0,0,46
512,Balham                        ,603,Highbury & Islington          ,8,72,0,0,0,0,80
512,Balham                        ,607,Holborn                       ,2,6,9,0,0,0,17
512,Balham                        ,609,Holloway Road                 ,0,19,0,0,0,0,19
512,Balham                        ,616,Kennington                    ,18,35,0,0,0,0,54
512,Balham                        ,619,Kentish Town                  ,0,0,0,0,0,5,5
512,Balham                        ,625,King's Cross St. Pancras      ,6,10,23,0,0,0,39
512,Balham                        ,631,Leicester Square              ,0,35,6,0,27,81,148
512,Balham                        ,634,Liverpool Street              ,0,1,1,0,0,0,3
512,Balham                        ,635,London Bridge                 ,12,135,36,0,0,0,183
512,Balham                        ,641,Marylebone                    ,0,16,0,0,0,0,16
512,Balham                        ,642,Mile End                      ,6,19,0,0,0,0,24
512,Balham                        ,645,Moorgate                      ,4,225,29,0,0,0,257
512,Balham                        ,647,Morden                        ,9,68,45,73,0,0,195
512,Balham                        ,648,Mornington Crescent           ,1,16,0,0,0,0,17
512,Balham                        ,789,North Greenwich               ,0,0,74,0,0,9,82
512,Balham                        ,665,Old Street                    ,0,8,33,0,1,0,42
512,Balham                        ,668,Oval                          ,0,61,38,0,42,11,151
512,Balham                        ,669,Oxford Circus                 ,3,4,0,14,0,0,21
512,Balham                        ,674,Piccadilly Circus             ,0,8,0,0,0,0,8
512,Balham                        ,776,Pimlico                       ,1,27,0,0,0,0,28
512,Balham                        ,685,Regent's Park                 ,0,0,25,0,0,0,25
512,Balham                        ,694,Russell Square                ,1,21,0,0,0,0,22
512,Balham                        ,711,South Wimbledon               ,0,0,0,11,36,18,64
512,Balham                        ,706,Southgate                     ,0,0,0,2,0,0,2
512,Balham                        ,716,Stockwell                     ,0,0,53,0,22,64,139
512,Balham                        ,719,Stratford                     ,0,55,0,0,0,0,55
512,Balham                        ,726,Tooting Bec                   ,4,51,3,206,15,0,278
512,Balham                        ,727,Tooting Broadway              ,24,211,358,166,213,33,1005
512,Balham                        ,728,Tottenham Court Road          ,4,23,79,81,1,0,188
512,Balham                        ,731,Tower Hill                    ,0,1,0,0,0,0,1
512,Balham                        ,745,Warren Street                 ,0,0,4,0,0,0,4
512,Balham                        ,747,Waterloo                      ,0,11,29,0,0,0,41
512,Balham                        ,767,Wimbledon                     ,0,0,0,0,0,4,4
512,Balham                        ,771,Woodside Park                 ,0,0,0,0,0,0,0
513,Bank / Monument               ,503,Aldgate East                  ,2,143,65,0,0,0,209
513,Bank / Monument               ,507,Angel                         ,66,496,239,154,1014,0,1969
513,Bank / Monument               ,508,Archway                       ,38,42,41,172,22,0,315
513,Bank / Monument               ,511,Baker Street                  ,0,0,0,502,0,0,502
513,Bank / Monument               ,512,Balham                        ,0,0,0,200,0,0,200
513,Bank / Monument               ,501,Barbican                      ,0,76,122,58,0,0,256
513,Bank / Monument               ,519,Belsize Park                  ,0,3,33,0,3,0,39
513,Bank / Monument               ,520,Bethnal Green                 ,16,68,0,421,0,0,505
513,Bank / Monument               ,521,Blackfriars                   ,30,207,113,0,103,0,453
513,Bank / Monument               ,524,Bond Street                   ,25,195,570,0,0,0,790
513,Bank / Monument               ,525,Borough                       ,0,112,2,0,0,0,115
513,Bank / Monument               ,528,Bow Road                      ,0,0,0,0,37,0,37
513,Bank / Monument               ,778,Brixton                       ,0,38,37,28,0,327,430
513,Bank / Monument               ,531,Buckhurst Hill                ,0,0,0,0,18,0,18
513,Bank / Monument               ,535,Camden Town                   ,0,0,197,0,538,0,735
513,Bank / Monument               ,884,Canning Town                  ,0,0,19,0,0,0,19
513,Bank / Monument               ,536,Cannon Street                 ,0,14,27,0,0,0,41
513,Bank / Monument               ,540,Chalk Farm                    ,0,0,0,0,3,0,3
513,Bank / Monument               ,541,Chancery Lane                 ,24,968,398,0,0,34,1424
513,Bank / Monument               ,718,Charing Cross                 ,0,0,0,0,0,18,18
513,Bank / Monument               ,547,Clapham Common                ,0,0,0,36,0,0,36
513,Bank / Monument               ,548,Clapham North                 ,0,36,0,0,0,0,36
513,Bank / Monument               ,549,Clapham South                 ,0,0,0,0,189,0,189
513,Bank / Monument               ,550,Cockfosters                   ,0,0,0,28,0,0,28
513,Bank / Monument               ,551,Colindale                     ,85,22,0,0,0,0,107
513,Bank / Monument               ,552,Colliers Wood                 ,38,19,0,13,0,0,70
513,Bank / Monument               ,553,Covent Garden                 ,0,0,0,115,62,52,230
513,Bank / Monument               ,557,Debden                        ,11,34,0,0,0,0,45
513,Bank / Monument               ,560,Ealing Broadway               ,0,31,8,503,0,152,694
513,Bank / Monument               ,562,Earl's Court                  ,0,0,43,106,0,0,148
513,Bank / Monument               ,565,East Finchley                 ,34,76,0,703,559,0,1371
513,Bank / Monument               ,566,East Ham                      ,0,0,0,0,2,0,2
513,Bank / Monument               ,568,Edgware                       ,0,0,0,0,76,0,76
513,Bank / Monument               ,570,Elephant & Castle             ,31,153,236,55,0,0,474
513,Bank / Monument               ,542,Embankment                    ,16,189,51,460,34,0,749
513,Bank / Monument               ,572,Epping                        ,0,0,0,13,0,28,41
513,Bank / Monument               ,574,Euston                        ,14,453,506,613,100,93,1779
513,Bank / Monument               ,577,Farringdon                    ,0,48,0,0,0,0,48
513,Bank / Monument               ,578,Finchley Central              ,0,0,0,0,7,109,116
513,Bank / Monument               ,580,Finsbury Park                 ,0,0,0,248,0,0,248
513,Bank / Monument               ,581,Fulham Broadway               ,0,0,0,97,0,0,97
513,Bank / Monument               ,582,Gants Hill                    ,0,0,0,8,0,0,8
513,Bank / Monument               ,583,Gloucester Road               ,0,51,177,0,0,0,228
513,Bank / Monument               ,584,Golders Green                 ,0,58,14,0,0,0,72
513,Bank / Monument               ,586,Goodge Street                 ,0,0,66,0,0,0,66
513,Bank / Monument               ,588,Great Portland Street         ,0,80,0,0,0,0,80
513,Bank / Monument               ,590,Green Park                    ,0,0,0,3,0,0,3
513,Bank / Monument               ,589,Greenford                     ,11,5,0,41,0,0,57
513,Bank / Monument               ,592,Hainault                      ,0,0,0,40,0,0,40
513,Bank / Monument               ,593,Hammersmith (Dis)             ,0,12,224,0,0,0,237
513,Bank / Monument               ,594,Hampstead                     ,0,0,0,73,1,0,74
513,Bank / Monument               ,595,Hanger Lane                   ,0,0,90,17,0,0,107
513,Bank / Monument               ,783,Heathrow Terminal 5           ,0,0,6,0,0,0,6
513,Bank / Monument               ,601,Hendon Central                ,11,24,187,0,0,0,222
513,Bank / Monument               ,602,High Barnet                   ,0,0,0,33,0,0,33
513,Bank / Monument               ,605,High Street Kensington        ,0,36,0,0,195,319,550
513,Bank / Monument               ,604,Highgate                      ,55,85,0,132,6,0,278
513,Bank / Monument               ,607,Holborn                       ,55,1068,617,453,137,385,2715
513,Bank / Monument               ,608,Holland Park                  ,0,0,0,47,112,0,160
513,Bank / Monument               ,609,Holloway Road                 ,0,0,182,0,0,0,182
513,Bank / Monument               ,614,Hyde Park Corner              ,0,0,107,0,0,0,107
513,Bank / Monument               ,616,Kennington                    ,0,0,0,15,0,0,15
513,Bank / Monument               ,619,Kentish Town                  ,25,34,21,22,0,0,101
513,Bank / Monument               ,621,Kew Gardens                   ,0,64,0,0,0,0,64
513,Bank / Monument               ,625,King's Cross St. Pancras      ,48,456,543,1305,87,832,3271
513,Bank / Monument               ,626,Knightsbridge                 ,0,0,31,0,0,0,31
513,Bank / Monument               ,629,Lancaster Gate                ,4,116,53,346,0,0,519
513,Bank / Monument               ,631,Leicester Square              ,0,0,0,95,0,0,95
513,Bank / Monument               ,632,Leyton                        ,0,4,71,0,0,0,75
513,Bank / Monument               ,633,Leytonstone                   ,5,19,0,23,0,0,47
513,Bank / Monument               ,634,Liverpool Street              ,67,1452,388,181,102,104,2295
513,Bank / Monument               ,635,London Bridge                 ,8,115,281,0,0,0,405
513,Bank / Monument               ,639,Mansion House                 ,0,0,57,0,0,0,57
513,Bank / Monument               ,640,Marble Arch                   ,29,196,52,45,0,0,321
513,Bank / Monument               ,641,Marylebone                    ,0,44,0,36,0,0,80
513,Bank / Monument               ,642,Mile End                      ,0,71,39,24,0,0,133
513,Bank / Monument               ,645,Moorgate                      ,30,384,394,182,0,0,990
513,Bank / Monument               ,647,Morden                        ,0,62,125,95,0,0,281
513,Bank / Monument               ,648,Mornington Crescent           ,0,16,0,0,0,0,16
513,Bank / Monument               ,649,Neasden                       ,0,13,0,0,0,0,13
513,Bank / Monument               ,653,North Acton                   ,2,153,0,0,0,0,155
513,Bank / Monument               ,663,Notting Hill Gate             ,0,26,28,0,49,0,104
513,Bank / Monument               ,665,Old Street                    ,1,138,384,327,353,56,1258
513,Bank / Monument               ,668,Oval                          ,29,94,4,68,0,0,195
513,Bank / Monument               ,669,Oxford Circus                 ,37,576,621,359,414,0,2007
513,Bank / Monument               ,670,Paddington                    ,16,251,33,108,0,0,408
513,Bank / Monument               ,672,Parsons Green                 ,0,0,19,27,0,0,46
513,Bank / Monument               ,674,Piccadilly Circus             ,0,44,13,0,0,0,57
513,Bank / Monument               ,680,Queen's Park                  ,0,0,0,12,0,0,12
513,Bank / Monument               ,681,Queensway                     ,0,0,226,0,0,0,226
513,Bank / Monument               ,682,Ravenscourt Park              ,0,0,0,35,0,0,35
513,Bank / Monument               ,686,Richmond                      ,37,286,0,44,0,0,367
513,Bank / Monument               ,694,Russell Square                ,0,36,125,147,0,0,309
513,Bank / Monument               ,700,Shepherd's Bush (Cen)         ,27,82,62,0,333,0,505
513,Bank / Monument               ,702,Sloane Square                 ,0,17,310,23,0,0,350
513,Bank / Monument               ,703,Snaresbrook                   ,0,18,0,0,0,0,18
513,Bank / Monument               ,708,South Kensington              ,0,72,27,0,0,0,98
513,Bank / Monument               ,711,South Wimbledon               ,30,33,0,0,0,0,62
513,Bank / Monument               ,712,South Woodford                ,5,41,0,0,0,0,45
513,Bank / Monument               ,784,Southwark                     ,0,0,108,0,0,0,108
513,Bank / Monument               ,695,St. James's Park              ,18,186,29,0,0,0,233
513,Bank / Monument               ,697,St. Paul's                    ,5,458,16,202,37,0,719
513,Bank / Monument               ,716,Stockwell                     ,0,25,86,0,857,394,1362
513,Bank / Monument               ,719,Stratford                     ,0,2,0,430,0,0,432
513,Bank / Monument               ,724,Temple                        ,0,40,105,0,0,0,145
513,Bank / Monument               ,726,Tooting Bec                   ,20,49,83,0,0,132,285
513,Bank / Monument               ,727,Tooting Broadway              ,0,77,328,101,68,0,573
513,Bank / Monument               ,728,Tottenham Court Road          ,93,490,477,287,0,497,1845
513,Bank / Monument               ,730,Totteridge & Whetstone        ,0,0,0,90,0,0,90
513,Bank / Monument               ,731,Tower Hill                    ,6,48,78,0,0,0,133
513,Bank / Monument               ,733,Tufnell Park                  ,0,0,27,4,0,0,31
513,Bank / Monument               ,735,Turnpike Lane                 ,0,19,0,0,145,0,163
513,Bank / Monument               ,777,Vauxhall                      ,0,223,0,0,0,0,223
513,Bank / Monument               ,741,Victoria                      ,6,101,517,262,12,0,898
513,Bank / Monument               ,743,Wanstead                      ,0,0,0,0,12,0,12
513,Bank / Monument               ,745,Warren Street                 ,19,28,0,0,0,0,46
513,Bank / Monument               ,747,Waterloo                      ,144,1412,1255,619,382,40,3852
513,Bank / Monument               ,748,Watford                       ,0,0,76,0,0,0,76
513,Bank / Monument               ,752,Wembley Park                  ,0,0,0,32,0,0,32
513,Bank / Monument               ,760,West Kensington               ,30,28,0,0,0,0,57
513,Bank / Monument               ,761,Westminster                   ,5,334,127,89,0,0,555
513,Bank / Monument               ,764,White City                    ,0,86,72,0,0,351,509
513,Bank / Monument               ,763,Whitechapel                   ,6,25,0,50,0,0,81
513,Bank / Monument               ,770,Wood Green                    ,17,3,0,109,0,0,130
513,Bank / Monument               ,771,Woodside Park                 ,0,0,33,107,0,0,140
514,Barking                       ,518,Becontree                     ,0,48,122,73,384,198,825
514,Barking                       ,524,Bond Street                   ,0,1,0,0,0,0,1
514,Barking                       ,535,Camden Town                   ,0,0,0,0,0,26,26
514,Barking                       ,852,Canary Wharf                  ,0,0,0,0,0,8,8
514,Barking                       ,536,Cannon Street                 ,0,0,13,0,0,0,13
514,Barking                       ,541,Chancery Lane                 ,27,119,184,0,0,0,330
514,Barking                       ,555,Dagenham East                 ,0,0,41,273,516,51,882
514,Barking                       ,556,Dagenham Heathway             ,0,115,0,339,186,16,655
514,Barking                       ,565,East Finchley                 ,0,6,0,0,0,0,6
514,Barking                       ,566,East Ham                      ,0,115,0,0,16,0,131
514,Barking                       ,774,Edgware Road (Bak)            ,0,0,0,151,0,0,151
514,Barking                       ,571,Elm Park                      ,0,0,132,36,22,16,207
514,Barking                       ,542,Embankment                    ,0,0,37,0,0,0,37
514,Barking                       ,584,Golders Green                 ,0,0,19,0,0,0,19
514,Barking                       ,590,Green Park                    ,0,29,0,0,0,0,29
514,Barking                       ,593,Hammersmith (Dis)             ,0,0,66,0,0,0,66
514,Barking                       ,607,Holborn                       ,0,9,0,0,0,0,9
514,Barking                       ,610,Hornchurch                    ,13,52,206,0,25,0,297
514,Barking                       ,635,London Bridge                 ,0,0,0,0,0,5,5
514,Barking                       ,642,Mile End                      ,1,16,114,0,0,0,131
514,Barking                       ,789,North Greenwich               ,0,0,0,0,95,0,95
514,Barking                       ,674,Piccadilly Circus             ,0,0,16,0,0,0,16
514,Barking                       ,676,Plaistow                      ,0,0,0,0,5,0,5
514,Barking                       ,681,Queensway                     ,0,0,0,111,0,0,111
514,Barking                       ,700,Shepherd's Bush (Cen)         ,0,0,34,0,0,0,34
514,Barking                       ,696,St. John's Wood               ,0,0,0,166,0,0,166
514,Barking                       ,719,Stratford                     ,0,4,79,92,0,0,176
514,Barking                       ,736,Upminster                     ,0,21,0,0,37,18,75
514,Barking                       ,737,Upminster Bridge              ,0,45,0,0,52,11,109
514,Barking                       ,738,Upney                         ,0,141,0,27,41,0,208
514,Barking                       ,739,Upton Park                    ,2,14,119,6,0,0,141
514,Barking                       ,741,Victoria                      ,0,0,0,0,0,0,0
514,Barking                       ,747,Waterloo                      ,0,0,0,20,0,0,20
514,Barking                       ,757,West Ham                      ,0,49,0,0,0,0,49
514,Barking                       ,761,Westminster                   ,1,0,0,0,0,0,1
514,Barking                       ,763,Whitechapel                   ,91,310,0,0,0,0,402
514,Barking                       ,767,Wimbledon                     ,0,6,0,0,0,0,6
514,Barking                       ,771,Woodside Park                 ,0,0,19,0,0,0,19
520,Bethnal Green                 ,521,Blackfriars                   ,0,14,0,0,0,0,14
520,Bethnal Green                 ,718,Charing Cross                 ,0,0,22,0,0,0,22
520,Bethnal Green                 ,560,Ealing Broadway               ,38,41,0,0,0,0,79
520,Bethnal Green                 ,582,Gants Hill                    ,0,0,34,0,0,0,34
520,Bethnal Green                 ,607,Holborn                       ,0,23,0,0,37,0,60
520,Bethnal Green                 ,640,Marble Arch                   ,45,17,0,0,0,0,63
520,Bethnal Green                 ,642,Mile End                      ,0,10,30,0,69,0,109
520,Bethnal Green                 ,650,Newbury Park                  ,0,10,0,0,0,0,10
520,Bethnal Green                 ,789,North Greenwich               ,5,5,0,0,0,0,10
520,Bethnal Green                 ,700,Shepherd's Bush (Cen)         ,0,0,0,0,19,0,19
520,Bethnal Green                 ,719,Stratford                     ,0,81,0,0,102,0,183
520,Bethnal Green                 ,741,Victoria                      ,0,11,0,0,0,0,11
520,Bethnal Green                 ,747,Waterloo                      ,0,57,0,0,49,0,106
521,Blackfriars                   ,502,Aldgate                       ,3,36,23,0,0,0,62
521,Blackfriars                   ,503,Aldgate East                  ,24,135,0,0,0,0,159
521,Blackfriars                   ,513,Bank / Monument               ,48,1139,71,168,16,53,1495
521,Blackfriars                   ,514,Barking                       ,0,9,0,0,0,0,9
521,Blackfriars                   ,520,Bethnal Green                 ,0,0,0,0,6,0,6
521,Blackfriars                   ,528,Bow Road                      ,1,4,2,0,10,0,18
521,Blackfriars                   ,530,Bromley-by-Bow                ,0,31,0,0,0,0,31
521,Blackfriars                   ,852,Canary Wharf                  ,11,157,0,0,0,4,173
521,Blackfriars                   ,536,Cannon Street                 ,20,201,32,0,0,0,252
521,Blackfriars                   ,549,Clapham South                 ,0,0,5,0,0,0,5
521,Blackfriars                   ,556,Dagenham Heathway             ,15,17,98,0,0,0,130
521,Blackfriars                   ,562,Earl's Court                  ,0,0,13,0,0,0,13
521,Blackfriars                   ,566,East Ham                      ,0,4,0,117,0,0,122
521,Blackfriars                   ,567,East Putney                   ,1,42,0,0,0,0,43
521,Blackfriars                   ,542,Embankment                    ,14,272,1,33,49,0,369
521,Blackfriars                   ,574,Euston                        ,2,17,60,0,0,0,79
521,Blackfriars                   ,581,Fulham Broadway               ,0,0,0,0,15,0,15
521,Blackfriars                   ,583,Gloucester Road               ,4,24,0,0,0,0,28
521,Blackfriars                   ,586,Goodge Street                 ,3,17,27,0,0,0,46
521,Blackfriars                   ,593,Hammersmith (Dis)             ,0,15,0,0,0,0,15
521,Blackfriars                   ,780,Heathrow Terminals 123        ,6,3,0,0,0,0,9
521,Blackfriars                   ,605,High Street Kensington        ,4,4,41,0,0,0,50
521,Blackfriars                   ,621,Kew Gardens                   ,0,7,0,0,0,0,7
521,Blackfriars                   ,622,Kilburn                       ,0,0,0,56,0,0,56
521,Blackfriars                   ,628,Lambeth North                 ,0,0,2,0,0,0,2
521,Blackfriars                   ,631,Leicester Square              ,0,38,115,0,0,0,153
521,Blackfriars                   ,633,Leytonstone                   ,0,0,0,0,0,0,0
521,Blackfriars                   ,634,Liverpool Street              ,0,41,21,0,0,0,62
521,Blackfriars                   ,635,London Bridge                 ,0,0,0,56,0,0,56
521,Blackfriars                   ,639,Mansion House                 ,7,98,26,0,0,0,131
521,Blackfriars                   ,641,Marylebone                    ,0,0,0,0,0,0,0
521,Blackfriars                   ,642,Mile End                      ,1,6,0,1,0,0,9
521,Blackfriars                   ,665,Old Street                    ,0,1,0,0,0,0,1
521,Blackfriars                   ,669,Oxford Circus                 ,11,65,26,0,0,0,102
521,Blackfriars                   ,670,Paddington                    ,0,0,0,11,0,0,11
521,Blackfriars                   ,672,Parsons Green                 ,0,15,0,0,0,0,15
521,Blackfriars                   ,674,Piccadilly Circus             ,0,34,0,46,0,0,80
521,Blackfriars                   ,676,Plaistow                      ,1,0,0,0,0,0,1
521,Blackfriars                   ,684,Redbridge                     ,0,0,0,0,42,0,42
521,Blackfriars                   ,686,Richmond                      ,0,0,1,9,0,0,10
521,Blackfriars                   ,702,Sloane Square                 ,7,82,32,36,29,0,185
521,Blackfriars                   ,708,South Kensington              ,13,80,70,0,31,0,195
521,Blackfriars                   ,705,Southfields                   ,0,0,0,0,0,0,0
521,Blackfriars                   ,695,St. James's Park              ,12,359,125,0,2,0,498
521,Blackfriars                   ,715,Stepney Green                 ,0,73,56,0,0,0,129
521,Blackfriars                   ,719,Stratford                     ,0,1,18,0,0,0,19
521,Blackfriars                   ,723,Swiss Cottage                 ,0,0,0,0,30,0,30
521,Blackfriars                   ,724,Temple                        ,5,133,1,1,0,0,139
