 RODS report2d created at 13:27:39 on 29-03-2017,,,,,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
" Report 2d - Analysis by age, sex and exit station",,,,,,Sex,Age,,,,,,,,,
 NLC, station name,time period,Total,Male,Female,Not stated,Not Stated,Under 16  ,16-19     ,20-24     ,25-34     ,35-44     ,45-59     ,60-64     ,65-70     ,Over 70   
506,Amersham            ,Late        ,432,3,237,192,216,0,0,0,4,0,212,0,0,0
506,Amersham            ,   Total day,2374,923,987,463,468,38,104,41,324,243,813,250,36,56
507,Angel               ,Early       ,426,0,0,426,426,0,0,0,0,0,0,0,0,0
507,Angel               ,AM peak     ,10128,4024,5223,881,800,36,415,1474,2850,1890,1868,578,114,103
507,Angel               ,Midday      ,8891,3466,4798,627,484,47,694,1633,1754,1363,1644,688,364,219
507,Angel               ,PM Peak     ,7102,2967,3749,386,274,0,143,864,1939,1250,1739,476,240,176
507,Angel               ,Evening     ,3877,1092,2470,315,327,0,69,250,1240,468,1121,53,35,315
507,Angel               ,Late        ,1357,377,365,615,615,0,68,208,278,70,72,45,0,0
507,Angel               ,   Total day,31781,11926,16605,3251,2926,83,1389,4430,8061,5041,6444,1840,753,813
508,Archway             ,Early       ,196,0,0,196,196,0,0,0,0,0,0,0,0,0
508,Archway             ,AM peak     ,2618,640,1636,343,344,33,20,417,603,481,375,171,114,61
508,Archway             ,Midday      ,3361,1104,2143,114,99,0,137,513,620,556,705,187,469,76
508,Archway             ,PM Peak     ,4787,1739,3038,9,12,17,287,993,1224,1104,829,79,181,62
508,Archway             ,Evening     ,3175,1250,1872,53,48,0,28,747,1016,680,565,22,47,21
508,Archway             ,Late        ,1672,891,316,465,461,0,0,104,454,203,416,0,33,1
508,Archway             ,   Total day,15809,5624,9005,1180,1159,50,471,2774,3917,3025,2890,458,844,221
509,Arnos Grove         ,Early       ,92,0,0,92,92,0,0,0,0,0,0,0,0,0
509,Arnos Grove         ,AM peak     ,872,312,354,207,207,3,41,36,125,197,160,95,1,9
509,Arnos Grove         ,Midday      ,1421,721,696,4,13,0,41,150,225,182,327,163,125,194
509,Arnos Grove         ,PM Peak     ,2420,754,1536,130,122,0,1,518,576,322,753,11,109,6
509,Arnos Grove         ,Evening     ,1480,817,658,5,3,0,125,190,452,251,364,59,31,5
509,Arnos Grove         ,Late        ,884,439,255,190,193,0,11,79,255,106,158,70,1,10
509,Arnos Grove         ,   Total day,7168,3044,3498,627,630,3,219,974,1633,1057,1763,399,267,223
510,Arsenal             ,Early       ,24,0,0,24,24,0,0,0,0,0,0,0,0,0
510,Arsenal             ,AM peak     ,445,292,134,18,18,0,37,4,154,135,38,0,25,33
510,Arsenal             ,Midday      ,1033,297,735,0,36,0,0,56,297,142,152,39,309,2
510,Arsenal             ,PM Peak     ,1337,366,821,151,164,0,5,285,381,181,242,70,0,10
510,Arsenal             ,Evening     ,1085,225,721,140,140,0,0,50,527,144,90,119,6,10
510,Arsenal             ,Late        ,558,305,215,39,39,0,21,48,250,123,46,19,0,13
510,Arsenal             ,   Total day,4483,1485,2626,372,421,0,63,443,1608,726,567,247,340,67
511,Baker Street        ,Early       ,1019,0,1,1018,1018,0,0,0,0,1,0,0,0,0
511,Baker Street        ,AM peak     ,16583,6175,8696,1713,1564,79,136,1519,4226,3300,3461,1678,474,147
511,Baker Street        ,Midday      ,15236,5840,8096,1300,1171,34,1099,2962,2770,1480,3382,1174,638,526
511,Baker Street        ,PM Peak     ,9390,3397,4472,1522,1349,132,50,1257,2050,1826,1724,245,452,307
511,Baker Street        ,Evening     ,3398,1420,1604,375,307,0,109,321,1183,698,657,64,32,28
511,Baker Street        ,Late        ,1381,349,492,540,560,0,26,96,297,274,74,22,21,11
511,Baker Street        ,   Total day,47009,17180,23360,6469,5969,245,1421,6155,10526,7578,9298,3183,1616,1018
512,Balham              ,Early       ,313,0,0,313,313,0,0,0,0,0,0,0,0,0
512,Balham              ,AM peak     ,3033,988,1849,196,162,32,69,728,607,561,624,161,0,90
512,Balham              ,Midday      ,3924,1335,2377,212,111,0,182,856,976,568,712,36,181,301
512,Balham              ,PM Peak     ,8616,2852,5662,102,124,0,246,1309,2972,1846,1667,211,116,124
512,Balham              ,Evening     ,5511,1786,3579,147,143,0,103,802,2433,1009,842,80,91,7
512,Balham              ,Late        ,2540,701,1056,783,768,0,0,421,574,295,453,29,1,0
512,Balham              ,   Total day,23937,7663,14522,1753,1621,32,600,4116,7562,4280,4297,518,389,523
513,Bank / Monument     ,Early       ,6097,19,4,6074,6074,0,0,0,10,2,3,8,0,0
513,Bank / Monument     ,AM peak     ,71393,36723,29205,5464,5136,91,426,6822,20369,16031,15713,4544,1784,478
513,Bank / Monument     ,Midday      ,30132,15827,12579,1727,1813,49,944,5877,5201,5217,7440,1573,1099,918
513,Bank / Monument     ,PM Peak     ,18552,8323,8952,1278,1251,155,311,3446,4969,2545,3083,1680,535,577
513,Bank / Monument     ,Evening     ,5758,2046,3389,323,258,0,147,1807,2101,447,805,131,61,0
513,Bank / Monument     ,Late        ,2475,706,691,1078,1084,0,45,197,517,385,216,25,6,0
513,Bank / Monument     ,   Total day,134408,63644,54820,15944,15616,295,1872,18150,33167,24627,27261,7962,3486,1973
501,Barbican            ,Early       ,645,0,0,645,645,0,0,0,0,0,0,0,0,0
501,Barbican            ,AM peak     ,10349,3906,4709,1734,1684,0,118,1336,2340,1922,2215,310,305,119
501,Barbican            ,Midday      ,5593,2735,2673,184,210,47,363,749,1130,795,1085,717,414,82
501,Barbican            ,PM Peak     ,2834,1148,1205,481,541,0,27,338,597,440,472,183,126,110
501,Barbican            ,Evening     ,1089,397,488,204,204,0,18,74,342,110,239,12,72,18
501,Barbican            ,Late        ,352,95,71,186,186,0,0,97,19,6,7,8,19,9
501,Barbican            ,   Total day,20861,8281,9146,3435,3471,47,527,2595,4428,3273,4018,1231,935,338
514,Barking             ,Early       ,928,6,1,921,921,0,0,0,1,1,5,0,0,0
514,Barking             ,AM peak     ,5149,1783,2873,493,436,0,77,785,915,924,1204,543,193,71
514,Barking             ,Midday      ,5242,1223,2301,1719,1708,12,458,664,424,762,667,130,214,204
514,Barking             ,PM Peak     ,9410,1988,3582,3841,3706,0,379,901,987,1281,1591,86,333,145
514,Barking             ,Evening     ,4361,1374,1746,1241,1212,0,59,971,654,1001,446,15,0,4
514,Barking             ,Late        ,1645,285,385,975,981,0,57,182,65,241,97,13,9,0
514,Barking             ,   Total day,26736,6658,10888,9190,8964,12,1029,3504,3046,4211,4010,787,749,424
515,Barkingside         ,Early       ,23,0,0,23,23,0,0,0,0,0,0,0,0,0
515,Barkingside         ,AM peak     ,360,169,141,50,50,0,0,40,49,13,66,143,0,0
515,Barkingside         ,Midday      ,381,333,46,3,1,0,137,49,4,100,37,46,8,0
515,Barkingside         ,PM Peak     ,1212,497,708,7,30,0,47,119,210,275,496,31,4,1
515,Barkingside         ,Evening     ,426,130,274,22,22,0,0,103,19,116,120,43,4,0
515,Barkingside         ,Late        ,165,9,140,17,17,0,0,0,139,1,6,1,1,0
515,Barkingside         ,   Total day,2569,1139,1309,122,143,0,184,312,421,505,725,263,16,1
516,Barons Court        ,Early       ,113,0,0,113,113,0,0,0,0,0,0,0,0,0
516,Barons Court        ,AM peak     ,3626,1725,1562,339,322,5,136,453,1118,695,655,177,46,19
516,Barons Court        ,Midday      ,2254,974,1130,150,107,0,247,348,342,307,598,105,154,45
516,Barons Court        ,PM Peak     ,2517,839,1618,61,68,0,77,377,907,341,431,168,86,62
516,Barons Court        ,Evening     ,1864,688,1061,115,115,0,0,388,565,488,285,18,5,0
516,Barons Court        ,Late        ,911,333,405,172,172,0,18,145,425,55,92,0,3,0
516,Barons Court        ,   Total day,11284,4560,5776,948,895,5,479,1712,3357,1887,2061,468,294,126
517,Bayswater           ,Early       ,62,0,0,62,62,0,0,0,0,0,0,0,0,0
517,Bayswater           ,AM peak     ,734,350,378,6,4,0,78,136,175,110,118,102,11,0
517,Bayswater           ,Midday      ,1805,639,1047,119,119,0,140,295,287,266,311,169,111,106
517,Bayswater           ,PM Peak     ,1762,672,838,253,243,0,98,323,322,277,278,93,65,65
517,Bayswater           ,Evening     ,1219,357,670,192,192,36,58,122,289,55,361,8,93,5
517,Bayswater           ,Late        ,584,73,221,290,296,0,0,30,135,45,62,12,2,2
517,Bayswater           ,   Total day,6166,2091,3154,921,916,37,374,906,1208,753,1130,384,282,177
518,Becontree           ,Early       ,80,0,0,80,80,0,0,0,0,0,0,0,0,0
518,Becontree           ,AM peak     ,464,183,247,34,34,0,1,71,152,36,117,43,5,5
518,Becontree           ,Midday      ,1151,241,618,292,313,1,120,65,219,251,59,10,46,67
518,Becontree           ,PM Peak     ,2521,361,1052,1108,1108,1,216,122,394,368,285,26,0,0
518,Becontree           ,Evening     ,1147,32,589,526,522,0,52,152,92,95,104,0,129,0
518,Becontree           ,Late        ,469,37,30,403,403,0,12,0,22,29,4,0,0,0
518,Becontree           ,   Total day,5833,854,2536,2443,2459,2,402,411,880,778,568,79,180,72
519,Belsize Park        ,Early       ,147,0,0,147,147,0,0,0,0,0,0,0,0,0
519,Belsize Park        ,AM peak     ,2625,1149,1194,281,377,0,2,99,452,380,609,479,128,98
519,Belsize Park        ,Midday      ,2805,955,1561,289,146,77,33,381,504,377,655,214,244,175
519,Belsize Park        ,PM Peak     ,2091,949,1112,30,30,4,104,237,379,361,585,202,61,128
519,Belsize Park        ,Evening     ,1661,595,1060,6,19,0,99,245,561,334,274,96,22,11
519,Belsize Park        ,Late        ,723,149,296,279,275,0,0,87,180,57,68,33,4,20
519,Belsize Park        ,   Total day,10051,3797,5222,1032,995,81,237,1049,2076,1509,2191,1023,458,432
787,Bermondsey          ,Early       ,695,166,0,529,529,0,0,0,3,0,162,0,0,0
787,Bermondsey          ,AM peak     ,3684,1814,887,984,900,53,23,137,962,461,879,114,148,6
787,Bermondsey          ,Midday      ,2953,1698,638,618,613,0,107,238,346,632,551,275,50,140
787,Bermondsey          ,PM Peak     ,4676,1224,2439,1013,973,0,86,871,1229,763,609,64,30,51
787,Bermondsey          ,Evening     ,3218,1271,1517,430,424,0,49,502,1084,523,471,1,153,12
787,Bermondsey          ,Late        ,1599,927,321,351,368,0,27,308,513,218,161,0,3,0
787,Bermondsey          ,   Total day,16825,7098,5802,3925,3808,53,293,2056,4137,2597,2833,455,384,209
520,Bethnal Green       ,Early       ,618,0,0,618,618,0,0,0,0,0,0,0,0,0
520,Bethnal Green       ,AM peak     ,4304,1396,2265,642,656,0,23,615,868,647,1313,135,29,18
520,Bethnal Green       ,Midday      ,5354,1927,2240,1187,1040,0,285,703,1113,1067,610,170,242,123
520,Bethnal Green       ,PM Peak     ,6262,1662,2969,1631,1623,0,65,1907,1287,636,562,72,74,34
520,Bethnal Green       ,Evening     ,4861,1442,2276,1143,1112,0,21,970,1522,571,609,28,14,15
520,Bethnal Green       ,Late        ,2532,585,1010,937,932,0,68,318,780,202,190,42,0,0
520,Bethnal Green       ,   Total day,23931,7012,10761,6158,5981,0,463,4514,5570,3122,3284,447,359,190
521,Blackfriars         ,Early       ,748,1,0,748,748,0,0,0,0,0,0,0,0,0
521,Blackfriars         ,AM peak     ,13557,4926,7692,939,877,12,279,1596,4902,2564,2794,409,115,8
521,Blackfriars         ,Midday      ,5479,2438,2618,423,353,2,203,401,1401,1217,979,527,199,197
521,Blackfriars         ,PM Peak     ,4432,1702,1504,1226,1319,0,11,492,785,986,688,113,39,0
521,Blackfriars         ,Evening     ,1105,557,430,119,120,0,9,165,337,157,305,9,0,4
521,Blackfriars         ,Late        ,318,161,60,97,97,0,0,20,51,93,49,7,0,0
521,Blackfriars         ,   Total day,25639,9784,12304,3552,3515,14,501,2674,7476,5017,4815,1066,353,209
522,Blackhorse Road     ,Early       ,84,0,0,84,84,0,0,0,0,0,0,0,0,0
522,Blackhorse Road     ,AM peak     ,1174,530,516,128,133,4,28,162,238,350,238,14,6,0
522,Blackhorse Road     ,Midday      ,1727,938,603,186,186,0,79,212,504,124,319,53,210,41
522,Blackhorse Road     ,PM Peak     ,5353,1876,2865,611,529,1,126,233,1621,1082,1434,73,247,6
522,Blackhorse Road     ,Evening     ,3068,1136,1583,349,334,0,143,252,744,490,964,23,119,0
522,Blackhorse Road     ,Late        ,1405,387,446,572,578,0,7,79,266,288,156,22,0,9
522,Blackhorse Road     ,   Total day,12811,4867,6014,1929,1843,5,382,938,3373,2334,3111,186,582,56
524,Bond Street         ,Early       ,1783,17,2,1764,1765,0,0,0,1,6,3,8,0,0
524,Bond Street         ,AM peak     ,21109,7786,11555,1768,1637,18,400,2262,5670,3973,3995,2045,912,196
524,Bond Street         ,Midday      ,23484,9046,12770,1668,1997,37,683,3000,5036,3324,4929,1453,1303,1722
524,Bond Street         ,PM Peak     ,11896,4174,6150,1572,1488,33,211,1266,2271,2097,3339,306,297,587
524,Bond Street         ,Evening     ,3468,1465,1739,264,313,0,50,461,1076,863,557,36,46,65
524,Bond Street         ,Late        ,687,302,230,155,143,0,0,55,200,164,125,0,0,0
524,Bond Street         ,   Total day,62427,22789,32446,7191,7343,88,1344,7044,14253,10429,12948,3849,2558,2571
525,Borough             ,Early       ,152,0,0,151,151,0,0,0,0,0,0,0,0,0
525,Borough             ,AM peak     ,3567,1054,2207,307,269,0,8,378,1300,758,720,119,4,11
525,Borough             ,Midday      ,2505,1300,1099,107,124,5,93,514,659,299,673,4,111,23
525,Borough             ,PM Peak     ,1566,730,554,282,287,0,12,301,324,376,134,5,13,114
525,Borough             ,Evening     ,980,345,626,9,9,0,82,114,434,183,127,13,19,0
525,Borough             ,Late        ,518,187,157,174,174,0,15,93,168,19,48,0,0,0
525,Borough             ,   Total day,9287,3615,4642,1030,1015,5,211,1400,2885,1634,1702,141,146,148
526,Boston Manor        ,Early       ,73,0,0,73,73,0,0,0,0,0,0,0,0,0
526,Boston Manor        ,AM peak     ,810,283,339,188,183,9,8,90,90,179,163,48,27,13
526,Boston Manor        ,Midday      ,704,199,477,27,26,0,4,38,86,167,264,49,35,35
526,Boston Manor        ,PM Peak     ,1013,323,637,53,28,8,0,52,228,280,260,19,137,1
526,Boston Manor        ,Evening     ,636,375,250,12,14,0,22,176,54,115,194,31,2,28
526,Boston Manor        ,Late        ,330,59,107,163,176,0,0,30,65,17,29,13,0,0
526,Boston Manor        ,   Total day,3567,1240,1811,516,501,17,35,386,523,759,910,159,201,77
527,Bounds Green        ,Early       ,73,0,0,73,73,0,0,0,0,0,0,0,0,0
527,Bounds Green        ,AM peak     ,923,282,531,109,109,0,83,26,171,276,208,50,0,0
527,Bounds Green        ,Midday      ,1676,508,1164,3,15,0,122,410,307,243,271,93,148,65
527,Bounds Green        ,PM Peak     ,3684,1339,1952,393,544,3,30,671,643,500,944,85,243,21
527,Bounds Green        ,Evening     ,2392,750,1507,136,148,9,1,337,898,252,589,2,155,1
527,Bounds Green        ,Late        ,1264,668,388,208,208,6,95,286,185,194,253,27,9,2
527,Bounds Green        ,   Total day,10012,3548,5543,922,1097,18,331,1730,2205,1464,2265,258,555,89
528,Bow Road            ,Early       ,169,0,0,169,169,0,0,0,0,0,0,0,0,0
528,Bow Road            ,AM peak     ,1128,466,559,104,99,6,2,1,173,182,638,27,0,1
528,Bow Road            ,Midday      ,1561,672,779,110,13,0,179,328,352,189,315,16,99,71
528,Bow Road            ,PM Peak     ,2727,662,1454,611,634,0,6,661,570,407,235,88,125,1
528,Bow Road            ,Evening     ,2130,757,1074,298,295,0,0,283,1043,246,57,97,108,1
528,Bow Road            ,Late        ,1308,297,360,651,651,0,7,184,269,79,85,0,33,0
528,Bow Road            ,   Total day,9023,2853,4225,1944,1862,6,193,1457,2407,1103,1329,227,365,72
529,Brent Cross         ,Early       ,57,0,0,57,57,0,0,0,0,0,0,0,0,0
529,Brent Cross         ,AM peak     ,491,97,260,135,139,0,0,47,91,89,68,48,0,10
529,Brent Cross         ,Midday      ,860,384,446,31,31,0,111,333,89,76,187,0,27,5
529,Brent Cross         ,PM Peak     ,1450,625,681,145,77,0,42,565,242,73,299,56,91,5
529,Brent Cross         ,Evening     ,652,322,328,2,2,0,0,87,241,103,206,9,4,0
529,Brent Cross         ,Late        ,337,80,146,110,110,0,0,66,42,73,24,0,21,0
529,Brent Cross         ,   Total day,3848,1507,1860,480,416,0,153,1097,706,414,785,114,144,20
778,Brixton             ,Early       ,522,0,4,518,518,0,2,0,0,0,1,0,0,0
778,Brixton             ,AM peak     ,4456,1546,2185,726,732,0,21,409,1097,1074,754,298,36,35
778,Brixton             ,Midday      ,8201,2862,4534,805,858,47,281,1034,2253,1684,1314,307,196,226
778,Brixton             ,PM Peak     ,17702,4347,9819,3537,3494,0,449,2350,5495,3119,2275,128,101,291
778,Brixton             ,Evening     ,13687,4492,6788,2406,2421,0,50,2427,4526,2234,1788,62,142,36
778,Brixton             ,Late        ,6030,1788,1627,2615,2620,0,25,659,1285,700,677,24,0,40
778,Brixton             ,   Total day,50599,15035,24956,10608,10643,47,829,6880,14656,8811,6810,820,475,629
530,Bromley-by-Bow      ,Early       ,230,0,0,230,230,0,0,0,0,0,0,0,0,0
530,Bromley-by-Bow      ,AM peak     ,1270,436,595,239,239,1,59,187,255,193,239,81,13,3
530,Bromley-by-Bow      ,Midday      ,1102,543,547,12,228,30,83,115,133,203,112,98,101,0
530,Bromley-by-Bow      ,PM Peak     ,1772,526,504,742,742,12,0,328,301,105,254,22,8,0
530,Bromley-by-Bow      ,Evening     ,1255,220,709,326,326,0,0,215,241,224,215,34,0,0
530,Bromley-by-Bow      ,Late        ,578,145,58,375,375,0,0,42,124,0,37,0,0,0
530,Bromley-by-Bow      ,   Total day,6206,1870,2412,1924,2139,42,142,887,1053,725,857,235,121,3
531,Buckhurst Hill      ,Early       ,28,0,0,28,28,0,0,0,0,0,0,0,0,0
531,Buckhurst Hill      ,AM peak     ,280,49,218,13,13,0,0,6,67,43,38,73,41,0
531,Buckhurst Hill      ,Midday      ,589,178,382,29,29,8,22,99,54,131,49,99,46,52
531,Buckhurst Hill      ,PM Peak     ,1536,631,874,31,30,0,30,226,371,304,510,23,43,0
531,Buckhurst Hill      ,Evening     ,805,257,500,48,22,6,0,10,313,192,218,14,31,0
531,Buckhurst Hill      ,Late        ,283,114,143,26,26,0,0,34,76,70,76,0,1,0
531,Buckhurst Hill      ,   Total day,3521,1229,2118,175,148,14,52,375,880,741,891,208,162,52
532,Burnt Oak           ,Early       ,67,0,0,67,67,0,0,0,0,0,0,0,0,0
532,Burnt Oak           ,AM peak     ,729,210,345,173,96,6,3,153,165,108,107,49,24,18
532,Burnt Oak           ,Midday      ,1395,444,842,109,153,0,105,168,327,331,178,35,13,84
532,Burnt Oak           ,PM Peak     ,3256,945,2205,107,137,0,110,990,637,595,748,37,1,2
532,Burnt Oak           ,Evening     ,1375,374,780,222,185,4,28,274,220,220,379,17,48,0
532,Burnt Oak           ,Late        ,499,264,48,188,188,0,0,0,61,34,132,85,0,0
532,Burnt Oak           ,   Total day,7321,2236,4220,865,826,10,245,1586,1410,1288,1544,222,87,104
534,Caledonian Road     ,Early       ,241,0,0,241,241,0,0,0,0,0,0,0,0,0
534,Caledonian Road     ,AM peak     ,1956,852,900,203,192,0,12,224,600,308,449,102,19,49
534,Caledonian Road     ,Midday      ,1857,1030,717,111,113,0,46,356,462,313,249,93,117,108
534,Caledonian Road     ,PM Peak     ,2265,1062,962,241,256,0,208,521,607,197,341,45,75,16
534,Caledonian Road     ,Evening     ,1741,395,830,515,515,1,36,361,482,144,136,50,12,3
534,Caledonian Road     ,Late        ,850,207,366,277,277,0,0,140,278,107,42,6,0,0
534,Caledonian Road     ,   Total day,8910,3546,3776,1588,1595,1,302,1601,2430,1068,1219,296,223,176
535,Camden Town         ,Early       ,520,5,0,516,516,0,0,0,0,0,5,0,0,0
535,Camden Town         ,AM peak     ,7427,2836,4027,563,589,7,42,931,2237,1279,1691,464,123,62
535,Camden Town         ,Midday      ,11333,3849,6180,1305,1198,0,467,2204,2668,2499,1665,348,149,136
535,Camden Town         ,PM Peak     ,6868,1765,3460,1642,1624,0,362,714,1607,868,1241,75,183,194
535,Camden Town         ,Evening     ,3957,1292,2090,575,424,0,30,490,1743,646,398,144,81,2
535,Camden Town         ,Late        ,1573,479,646,448,437,0,94,399,281,200,120,11,2,30
535,Camden Town         ,   Total day,31678,10226,16403,5049,4787,7,995,4737,8536,5492,5121,1041,538,425
788,Canada Water        ,Early       ,1444,0,1,1442,1442,0,0,0,0,1,0,0,0,0
788,Canada Water        ,AM peak     ,14575,4742,7154,2679,2373,0,292,1420,4431,1849,3980,114,68,49
788,Canada Water        ,Midday      ,14778,4531,8473,1774,1711,7,1445,2385,3970,1658,2511,590,413,89
788,Canada Water        ,PM Peak     ,23228,7139,12891,3198,3089,91,1640,3021,6563,4313,3204,793,256,258
788,Canada Water        ,Evening     ,14415,4299,8931,1185,1134,7,9,3332,4873,2612,2075,147,168,58
788,Canada Water        ,Late        ,5864,2291,2230,1343,1343,9,234,1074,1583,588,881,102,48,1
788,Canada Water        ,   Total day,74303,23002,39680,11621,11093,114,3620,11231,21421,11020,12651,1746,953,454
852,Canary Wharf        ,Early       ,5204,11,1,5191,5189,0,0,0,0,2,4,5,4,0
852,Canary Wharf        ,AM peak     ,58672,27766,26051,4855,4440,9,177,4751,18232,13821,13774,2290,1117,60
852,Canary Wharf        ,Midday      ,16798,7443,7470,1885,2066,8,343,1821,3741,3199,4233,480,554,353
852,Canary Wharf        ,PM Peak     ,10898,3892,6258,748,799,87,759,1552,3981,1578,1320,304,498,19
852,Canary Wharf        ,Evening     ,5583,2991,2174,419,414,0,98,1191,2036,850,808,149,7,29
852,Canary Wharf        ,Late        ,3006,765,953,1288,1216,0,14,121,872,449,180,153,0,1
852,Canary Wharf        ,   Total day,100162,42868,42907,14386,14123,104,1392,9436,28863,19900,20319,3381,2180,462
884,Canning Town        ,Early       ,2793,6,1,2786,2786,0,0,0,1,3,3,0,0,0
884,Canning Town        ,AM peak     ,10796,4164,4779,1853,1750,25,216,895,3402,1765,2159,284,226,74
884,Canning Town        ,Midday      ,11966,5713,4968,1285,1104,0,275,1957,1843,2218,2735,496,1158,180
884,Canning Town        ,PM Peak     ,14020,4581,6587,2853,2657,14,127,2042,3893,2551,1993,562,32,149
884,Canning Town        ,Evening     ,6899,2486,3978,435,396,0,222,2320,1550,1255,920,201,35,0
884,Canning Town        ,Late        ,2816,711,945,1160,1160,0,43,458,428,235,452,18,1,20
884,Canning Town        ,   Total day,49290,17660,21258,10372,9854,39,882,7672,11118,8026,8261,1563,1452,423
536,Cannon Street       ,Early       ,397,0,0,397,397,0,0,0,0,0,0,0,0,0
536,Cannon Street       ,AM peak     ,5001,2493,1978,530,549,0,3,408,1379,961,1531,138,21,11
536,Cannon Street       ,Midday      ,2793,1430,951,412,369,10,2,186,567,547,689,282,125,16
536,Cannon Street       ,PM Peak     ,4250,2512,1690,49,100,0,46,618,783,976,1184,395,74,75
536,Cannon Street       ,Evening     ,508,227,269,12,12,0,0,29,158,213,51,42,0,3
536,Cannon Street       ,Late        ,641,0,641,0,0,0,0,641,0,0,0,0,0,0
536,Cannon Street       ,   Total day,13590,6662,5529,1399,1427,10,50,1882,2888,2697,3455,858,220,104
537,Canons Park         ,Early       ,48,0,0,48,48,0,0,0,0,0,0,0,0,0
537,Canons Park         ,AM peak     ,478,103,374,1,1,0,0,49,19,175,234,0,0,0
537,Canons Park         ,Midday      ,724,253,227,244,244,0,83,19,47,66,31,117,70,47
537,Canons Park         ,PM Peak     ,1986,797,727,462,456,8,9,26,227,629,388,161,42,39
537,Canons Park         ,Evening     ,1118,581,412,125,38,0,0,325,134,172,361,61,0,27
537,Canons Park         ,Late        ,389,38,127,223,223,0,0,86,0,32,38,9,0,0
537,Canons Park         ,   Total day,4742,1772,1868,1102,1009,8,93,506,427,1075,1052,349,111,113
539,Chalfont & Latimer  ,Early       ,6,0,0,6,6,0,0,0,0,0,0,0,0,0
539,Chalfont & Latimer  ,AM peak     ,40,29,9,3,3,3,0,3,1,1,27,3,0,0
539,Chalfont & Latimer  ,Midday      ,159,97,57,5,36,0,26,8,0,13,22,25,17,10
